Date,Open,High,Low,Close,Adj Close,Volume
30-Apr-25,"8,800","8,925","8,675","8,825","8,825","164,597,500"
29-Apr-25,"8,800","8,825","8,700","8,725","8,725","60,315,700"
28-Apr-25,"8,750","8,775","8,650","8,775","8,775","73,235,400"
25-Apr-25,"8,650","8,650","8,575","8,600","8,600","58,297,000"
24-Apr-25,"8,850","8,850","8,475","8,475","8,475","143,675,300"
23-Apr-25,"8,550","8,725","8,550","8,725","8,725","92,329,600"
22-Apr-25,"8,325","8,500","8,325","8,500","8,500","56,537,100"
21-Apr-25,"8,500","8,500","8,300","8,300","8,300","40,683,800"
17-Apr-25,"8,450","8,500","8,350","8,500","8,500","83,540,600"
16-Apr-25,"8,500","8,550","8,425","8,475","8,475","76,874,900"
15-Apr-25,"8,575","8,600","8,450","8,575","8,575","83,431,800"
14-Apr-25,"8,250","8,400","8,250","8,400","8,400","83,319,300"
11-Apr-25,"8,200","8,325","8,050","8,275","8,275","82,603,000"
10-Apr-25,"8,500","8,650","8,175","8,225","8,225","144,148,600"
9-Apr-25,"7,700","7,950","7,675","7,925","7,925","136,753,900"
8-Apr-25,"7,400","8,000","7,275","7,775","7,775","533,073,600"
27-Mar-25,8425,8575,8375,8500,8500,122943900
26-Mar-25,8300,8650,8275,8525,8525,283104600
25-Mar-25,8075,8150,8000,8050,8050,136341700
24-Mar-25,7825,8100,7625,7950,7950,331836800
21-Mar-25,8275,8275,7900,7900,7900,377916400
20-Mar-25,8450,8475,8350,8375,8125,152917300
19-Mar-25,8300,8400,8225,8325,8076,214108200
18-Mar-25,8500,8550,8075,8300,8052,417305700
17-Mar-25,8750,8775,8550,8600,8343,151365700
14-Mar-25,8800,8925,8750,8750,8489,111397800
13-Mar-25,9150,9175,8975,8975,8707,83030700
12-Mar-25,9025,9125,8975,9125,8853,87968900
11-Mar-25,8950,9050,8875,8925,8659,109295600
10-Mar-25,8750,8975,8725,8925,8659,97652100
7-Mar-25,9000,9000,8925,8925,8659,82295300
6-Mar-25,9200,9200,8975,8975,8707,96270100
5-Mar-25,8825,9175,8825,9000,8731,155207900
4-Mar-25,8900,8925,8675,8850,8586,125418500
3-Mar-25,8600,8900,8550,8800,8537,192944300
28-Feb-25,8525,8675,8425,8425,8174,293095000
27-Feb-25,8800,8800,8500,8525,8271,199991600
26-Feb-25,8800,8900,8725,8775,8513,117843500
25-Feb-25,8900,9000,8825,8825,8562,101592700
24-Feb-25,8925,8975,8875,8925,8659,108530300
21-Feb-25,8950,9000,8925,9000,8731,106054700
20-Feb-25,8975,9025,8950,9000,8731,119260800
19-Feb-25,9225,9250,8950,8950,8683,154438200
18-Feb-25,9325,9575,9250,9300,9022,107318300
17-Feb-25,8975,9325,8975,9325,9047,89096400
14-Feb-25,9000,9075,8950,8975,8707,116274500
13-Feb-25,9100,9150,9000,9000,8731,90439700
12-Feb-25,8950,9150,8950,9150,8877,121172600
11-Feb-25,9025,9100,9000,9075,8804,71188300
10-Feb-25,9025,9250,9025,9150,8877,76209100
7-Feb-25,8950,9350,8825,9350,9071,131162200
6-Feb-25,9075,9100,8850,8950,8683,171477800
5-Feb-25,9100,9175,9100,9125,8853,98229900
4-Feb-25,9350,9400,9175,9175,8901,94607700
3-Feb-25,9400,9400,9225,9350,9071,90439900
31-Jan-25,9250,9500,9225,9450,9168,112982800
30-Jan-25,9150,9275,9150,9150,8877,154645800
24-Jan-25,9625,9650,9350,9350,9071,152057000
23-Jan-25,9600,9750,9600,9600,9313,120515400
22-Jan-25,9650,9675,9575,9600,9313,90154800
21-Jan-25,9600,9675,9550,9575,9289,124547900
20-Jan-25,9850,9875,9625,9625,9338,112111200
17-Jan-25,9750,9900,9650,9900,9604,71033100
16-Jan-25,9850,9925,9750,9750,9459,76979000
15-Jan-25,9575,9800,9550,9800,9507,77098000
14-Jan-25,9600,9725,9525,9525,9241,70942600
13-Jan-25,9625,9725,9625,9675,9386,88270100
10-Jan-25,9800,9925,9725,9725,9435,72531300
9-Jan-25,9750,9875,9725,9850,9556,42733800
8-Jan-25,9675,9775,9575,9675,9386,55943100
7-Jan-25,9675,9725,9525,9525,9241,71318600
6-Jan-25,9850,9875,9650,9675,9386,41593900
