Date,Open,High,Low,Close,Adj Close,Volume
30-Apr-25,3810,3850,3770,3850,3850,226832200
29-Apr-25,3860,3870,3820,3850,3850,160631400
28-Apr-25,3790,3850,3780,3840,3840,212945800
25-Apr-25,3770,3790,3730,3740,3740,136517100
24-Apr-25,3790,3840,3720,3730,3730,272537300
23-Apr-25,3600,3790,3640,3760,3760,432999900
22-Apr-25,3600,3650,3600,3630,3630,147116900
21-Apr-25,3620,3660,3570,3620,3620,107470200
17-Apr-25,3670,3670,3610,3640,3640,121059300
16-Apr-25,3690,3700,3600,3650,3650,233772400
15-Apr-25,3730,3780,3680,3690,3690,254224400
14-Apr-25,3630,3690,3620,3690,3690,169458300
11-Apr-25,3600,3650,3590,3630,3630,301200600
10-Apr-25,3920,3930,3770,3800,3591.6,417562900
9-Apr-25,3610,3720,3600,3630,3430.92,366649900
8-Apr-25,3460,3750,3450,3640,3440.37,734807100
27-Mar-25,4000,4050,3930,4050,4050,322553200
26-Mar-25,3870,4020,3860,4000,4000,540888800
25-Mar-25,3660,3840,3660,3800,3800,331285900
24-Mar-25,3650,3740,3520,3610,3610,342883200
21-Mar-25,3600,3700,3550,3700,3700,627645600
20-Mar-25,3730,3760,3640,3660,3660,313033000
19-Mar-25,3710,3780,3680,3710,3710,352217700
18-Mar-25,3840,3860,3500,3680,3680,416894600
17-Mar-25,3780,3840,3730,3830,3830,162467700
14-Mar-25,3750,3840,3750,3750,3750,156131900
13-Mar-25,3960,3970,3800,3800,3800,209225700
12-Mar-25,3810,3920,3810,3890,3890,271631200
11-Mar-25,3700,3790,3660,3790,3790,273961800
10-Mar-25,3790,3810,3730,3760,3760,232192200
7-Mar-25,3930,3930,3810,3810,3810,243793600
6-Mar-25,3870,3990,3870,3950,3950,434485100
5-Mar-25,3710,3900,3710,3840,3840,441151000
4-Mar-25,3680,3720,3600,3670,3670,338434700
3-Mar-25,3520,3740,3470,3670,3670,744626800
28-Feb-25,3500,3540,3360,3360,3360,1000597600
27-Feb-25,3790,3800,3610,3630,3630,410928000
26-Feb-25,3800,3860,3760,3820,3820,242834100
25-Feb-25,3880,3920,3800,3800,3800,404555100
24-Feb-25,3900,3940,3870,3920,3920,138610800
21-Feb-25,3910,3930,3870,3890,3890,205268800
20-Feb-25,3970,4020,3910,3910,3910,312753300
19-Feb-25,4160,4180,4010,4020,4020,348358600
18-Feb-25,4030,4180,4030,4150,4150,374350700
17-Feb-25,3870,4030,3870,4030,4030,265737100
14-Feb-25,4000,4010,3850,3860,3860,524909600
13-Feb-25,4000,4030,3960,3990,3990,341640600
12-Feb-25,3960,4060,3950,4030,4030,362571900
11-Feb-25,3970,4040,3900,4010,4010,276382800
10-Feb-25,4000,4050,3950,3970,3970,201999400
7-Feb-25,3970,4030,3940,4030,4030,259636200
6-Feb-25,4120,4160,3940,3970,3970,378545500
5-Feb-25,4250,4250,4140,4140,4140,209834400
4-Feb-25,4260,4300,4200,4260,4260,231917500
3-Feb-25,4200,4270,4150,4250,4250,220285800
31-Jan-25,4170,4280,4150,4220,4220,192622700
30-Jan-25,4130,4170,4090,4120,4120,220222400
24-Jan-25,4350,4350,4190,4190,4190,276421900
23-Jan-25,4260,4340,4260,4300,4300,216018100
22-Jan-25,4310,4320,4230,4260,4260,193218900
21-Jan-25,4270,4380,4250,4260,4260,345223800
20-Jan-25,4130,4220,4130,4220,4220,167348600
17-Jan-25,4150,4190,4080,4090,4090,268758600
16-Jan-25,4210,4240,4130,4160,4160,349387500
15-Jan-25,3840,4090,3840,4090,4090,407813500
14-Jan-25,3820,3920,3800,3800,3800,293621700
13-Jan-25,3990,3990,3850,3850,3850,413408100
10-Jan-25,4030,4060,4010,4010,4010,132774300
9-Jan-25,4070,4100,4030,4030,4030,99300400
8-Jan-25,4030,4100,4030,4080,4080,133655700
7-Jan-25,4080,4090,4030,4030,4030,171997400
6-Jan-25,4180,4180,4100,4100,4100,153048700
3-Jan-25,4220,4240,4150,4150,4150,134632300
2-Jan-25,4100,4220,4090,4210,4210,181361700
30-Dec-24,4080,4120,4070,4080,4080,153934700
27-Dec-24,4100,4120,4080,4100,4100,143104400
24-Dec-24,4220,4250,4170,4200,4065,199536100
23-Dec-24,4130,4210,4110,4210,4075,167689800
20-Dec-24,4070,4120,4050,4060,3930,252689600
19-Dec-24,4090,4110,4050,4090,3959,381986300
18-Dec-24,4170,4210,4130,4150,4017,205055500
17-Dec-24,4250,4290,4150,4150,4017,327919000
16-Dec-24,4150,4280,4150,4250,4113,325441900
13-Dec-24,4230,4280,4170,4170,4036,287838100
12-Dec-24,4340,4360,4260,4260,4123,226698900
11-Dec-24,4340,4430,4340,4380,4239,203980300
10-Dec-24,4360,4380,4290,4360,4220,196160900
9-Dec-24,4310,4390,4300,4390,4249,158897200
6-Dec-24,4250,4310,4220,4310,4171,151433000
5-Dec-24,4310,4340,4250,4260,4123,183249300
4-Dec-24,4240,4370,4220,4350,4210,345762200
3-Dec-24,4240,4250,4210,4240,4104,384146700
2-Dec-24,4270,4280,4160,4170,4036,337188900
29-Nov-24,4280,4300,4250,4250,4113,412519800
28-Nov-24,4350,4390,4330,4330,4191,277081800
26-Nov-24,4450,4470,4380,4400,4259,266677500
25-Nov-24,4420,4530,4420,4470,4326,401446400
22-Nov-24,4250,4420,4250,4400,4259,280188100
21-Nov-24,4280,4320,4250,4250,4113,376788400
20-Nov-24,4400,4440,4330,4330,4191,298734600
19-Nov-24,4350,4410,4350,4360,4220,294838700
18-Nov-24,4440,4460,4350,4350,4210,253272300
15-Nov-24,4450,4510,4450,4470,4326,106365600
14-Nov-24,4570,4590,4500,4500,4355,159871800
13-Nov-24,4470,4610,4460,4580,4433,209627200
12-Nov-24,4430,4520,4430,4500,4355,252380100
11-Nov-24,4470,4540,4370,4460,4317,507192300
8-Nov-24,4600,4640,4520,4520,4375,198589900
7-Nov-24,4610,4640,4550,4550,4404,296218600
6-Nov-24,4710,4730,4600,4600,4452,249059500
5-Nov-24,4690,4740,4680,4710,4559,199499300
4-Nov-24,4710,4770,4650,4720,4568,209831500
1-Nov-24,4770,4820,4700,4700,4549,235656400
31-Oct-24,4710,4870,4710,4800,4646,307110400
30-Oct-24,4630,4750,4630,4710,4559,296314500
29-Oct-24,4730,4780,4700,4700,4549,203658600
28-Oct-24,4770,4800,4710,4760,4607,191211000
25-Oct-24,4820,4860,4770,4770,4617,195647800
24-Oct-24,4820,4900,4810,4820,4665,218162100
23-Oct-24,4830,4890,4810,4860,4704,222147300
22-Oct-24,4960,4970,4900,4900,4743,199707500
21-Oct-24,4980,5025,4970,4990,4830,110708200
18-Oct-24,5025,5050,4960,4970,4810,157113000
17-Oct-24,4960,5050,4940,4980,4820,188127700
16-Oct-24,4950,4970,4920,4950,4791,118014300
15-Oct-24,4930,4990,4920,4920,4762,142372200
14-Oct-24,4900,4930,4870,4900,4743,125414400
11-Oct-24,4910,4940,4890,4900,4743,104875300
10-Oct-24,4920,4970,4860,4860,4704,226564700
9-Oct-24,5000,5075,4930,4930,4772,309336600
8-Oct-24,4800,5050,4760,5000,4839,527474400
7-Oct-24,4860,4930,4810,4820,4665,308452200
4-Oct-24,4870,4920,4850,4860,4860,289960700
3-Oct-24,4900,4960,4860,4920,4920,354814800
2-Oct-24,5000,5075,4900,4940,4940,307487600
1-Oct-24,4970,5075,4970,5075,5075,197069300
30-Sep-24,5050,5050,4950,4950,4950,539169900
27-Sep-24,5050,5150,5000,5100,5100,304694300
26-Sep-24,5150,5200,5025,5050,5050,855266800
25-Sep-24,5400,5425,5200,5325,5325,607065900
24-Sep-24,5550,5575,5525,5525,5525,195415700
23-Sep-24,5350,5500,5350,5500,5500,245292000
20-Sep-24,5400,5450,5375,5375,5375,260437400
19-Sep-24,5425,5500,5400,5400,5400,332941100
18-Sep-24,5350,5375,5325,5350,5350,186877300
17-Sep-24,5350,5350,5250,5300,5300,201331600
13-Sep-24,5200,5300,5175,5300,5300,259722600
12-Sep-24,5175,5225,5150,5175,5175,138542100
11-Sep-24,5225,5250,5125,5175,5175,165284900
10-Sep-24,5200,5250,5125,5250,5250,202326400
9-Sep-24,5275,5300,5150,5175,5175,201448700
6-Sep-24,5200,5250,5150,5225,5225,170520700
5-Sep-24,5125,5150,5075,5150,5150,166436800
4-Sep-24,5100,5175,5100,5100,5100,141890400
3-Sep-24,5225,5250,5150,5175,5175,166033900
2-Sep-24,5150,5225,5150,5175,5175,136717200
30-Aug-24,5175,5175,5125,5150,5150,275298000
29-Aug-24,5125,5175,5100,5125,5125,160041900
28-Aug-24,5100,5175,5025,5150,5150,277561700
27-Aug-24,5250,5275,5100,5175,5175,271088700
26-Aug-24,5200,5325,5200,5300,5300,361169800
23-Aug-24,5150,5200,5125,5150,5150,217759300
22-Aug-24,5125,5150,5025,5050,5050,474043100
21-Aug-24,4990,5100,4980,5100,5100,390307000
20-Aug-24,4860,4950,4840,4950,4950,310085500
19-Aug-24,4820,4820,4750,4820,4820,196203200
16-Aug-24,4850,4870,4830,4830,4830,149701700
15-Aug-24,4850,4870,4790,4830,4830,214394900
14-Aug-24,4770,4840,4760,4820,4820,262716500
13-Aug-24,4700,4750,4690,4720,4720,109533400
12-Aug-24,4720,4720,4650,4680,4680,83552800
9-Aug-24,4700,4730,4670,4670,4670,98730900
8-Aug-24,4600,4690,4590,4660,4660,131343400
7-Aug-24,4640,4640,4590,4620,4620,125937500
6-Aug-24,4550,4650,4520,4600,4600,238051800
5-Aug-24,4660,4670,4510,4530,4530,329430900
2-Aug-24,4730,4750,4690,4710,4710,113328400
1-Aug-24,4710,4750,4690,4750,4750,169636700
31-Jul-24,4650,4710,4650,4670,4670,168490300
30-Jul-24,4720,4740,4670,4670,4670,201835700
29-Jul-24,4800,4800,4760,4780,4780,126109900
26-Jul-24,4760,4810,4740,4760,4760,192267300
25-Jul-24,4760,4760,4660,4700,4700,274397700
24-Jul-24,4770,4800,4760,4780,4780,116037600
23-Jul-24,4900,4910,4780,4790,4790,170919500
22-Jul-24,4920,4940,4880,4910,4910,140128300
19-Jul-24,4870,4910,4850,4900,4900,135104800
18-Jul-24,4760,4890,4750,4890,4890,296614900
17-Jul-24,4750,4810,4720,4760,4760,263325400
16-Jul-24,4820,4840,4730,4730,4730,189271400
15-Jul-24,4920,4930,4810,4820,4820,188713000
12-Jul-24,4970,4980,4880,4900,4900,301125400
11-Jul-24,4910,4920,4840,4840,4840,170461300
10-Jul-24,4870,4920,4840,4850,4850,167619700
9-Jul-24,4780,4930,4750,4870,4870,291320400
8-Jul-24,4800,4830,4740,4750,4750,222042100
5-Jul-24,4850,4870,4790,4800,4800,218278000
4-Jul-24,4680,4830,4660,4790,4790,422261500
3-Jul-24,4630,4640,4560,4600,4600,176310400
2-Jul-24,4610,4630,4570,4570,4570,234403100
1-Jul-24,4630,4670,4560,4630,4630,261421200
28-Jun-24,4590,4640,4580,4600,4600,581319300
27-Jun-24,4410,4500,4380,4460,4460,299430600
26-Jun-24,4390,4430,4350,4370,4370,150303400
25-Jun-24,4320,4400,4280,4380,4380,383572500
