Date,Open,High,Low,Close,Adj Close ,Volume
30-Apr-25,1085,1085,1045,1055,1055,48675200
29-Apr-25,1100,1100,1060,1085,1085,46466900
28-Apr-25,1040,1105,1040,1100,1100,73362600
25-Apr-25,1040,1055,1025,1035,1035,60843500
24-Apr-25,1045,1050,1000,1015,1015,90755300
23-Apr-25,985,1000,960,1010,1010,82283000
22-Apr-25,915,965,910,965,965,32711400
21-Apr-25,945,955,910,920,920,20455700
17-Apr-25,960,960,925,945,945,55101600
16-Apr-25,895,975,895,965,965,153583700
15-Apr-25,865,910,865,885,885,75272300
14-Apr-25,890,910,885,910,886.43,55660000
11-Apr-25,870,885,855,880,828.2,36054100
10-Apr-25,875,885,860,870,828.2,27427000
9-Apr-25,810,870,810,825,778.43,42952700
8-Apr-25,790,880,770,810,762.32,70128600
27-Mar-25,890,905,855,885,885,74403600
26-Mar-25,840,905,840,895,895,110143000
25-Mar-25,785,825,785,820,820,39877400
24-Mar-25,780,810,755,785,785,57407100
21-Mar-25,815,815,770,770,770,64153800
20-Mar-25,835,860,800,815,815,43989600
19-Mar-25,825,845,815,830,830,27700900
18-Mar-25,830,840,800,825,825,56509300
17-Mar-25,820,830,815,830,830,18909400
14-Mar-25,830,835,815,820,820,25513000
13-Mar-25,860,865,825,830,830,40218500
12-Mar-25,845,860,845,850,850,21068000
11-Mar-25,845,855,835,845,845,29637300
10-Mar-25,855,860,845,855,855,26620700
7-Mar-25,870,870,850,855,855,54271800
6-Mar-25,880,905,870,875,875,53402400
5-Mar-25,855,910,855,880,880,60254500
4-Mar-25,875,880,855,855,855,34389600
3-Mar-25,870,895,855,880,880,56966800
28-Feb-25,885,885,835,835,835,68591800
27-Feb-25,900,920,885,895,895,21933700
26-Feb-25,910,930,890,900,900,21909500
25-Feb-25,920,930,900,910,910,21777000
24-Feb-25,935,945,920,920,920,18996400
21-Feb-25,960,960,930,935,935,21598700
20-Feb-25,965,980,945,960,960,21047400
19-Feb-25,995,1000,965,965,965,24651300
18-Feb-25,990,1010,980,995,995,50424200
17-Feb-25,975,1000,960,990,990,50965900
14-Feb-25,940,985,935,975,975,28382800
13-Feb-25,925,945,920,940,940,23550400
12-Feb-25,920,940,910,930,930,25382900
11-Feb-25,940,955,905,920,920,29904200
10-Feb-25,965,965,940,945,945,30213200
7-Feb-25,970,980,955,965,965,25124400
6-Feb-25,995,1005,955,970,970,44182900
5-Feb-25,1005,1010,990,995,995,23461600
4-Feb-25,1020,1025,1000,1005,1005,32212100
3-Feb-25,1040,1040,1005,1010,1010,36238500
31-Jan-25,1025,1060,1025,1045,1045,32702000
30-Jan-25,1060,1065,1015,1020,1020,29905700
24-Jan-25,1090,1095,1060,1065,1065,21273100
23-Jan-25,1085,1105,1085,1085,1085,20373300
22-Jan-25,1100,1105,1085,1085,1085,15943500
21-Jan-25,1115,1120,1085,1095,1095,59439200
20-Jan-25,1100,1110,1080,1095,1095,27122500
17-Jan-25,1100,1110,1075,1085,1085,41021600
16-Jan-25,1115,1130,1095,1105,1105,56313700
15-Jan-25,1050,1105,1050,1095,1095,50261300
14-Jan-25,1080,1090,1040,1050,1050,25207000
13-Jan-25,1110,1115,1070,1080,1080,29112600
10-Jan-25,1130,1145,1120,1120,1120,9507700
9-Jan-25,1140,1150,1130,1130,1130,6074500
8-Jan-25,1150,1165,1125,1145,1145,8164200
7-Jan-25,1160,1160,1135,1155,1155,11343500
6-Jan-25,1180,1180,1150,1160,1160,9904000
3-Jan-25,1190,1200,1160,1185,1185,7598200
2-Jan-25,1145,1200,1145,1190,1190,14632600
30-Dec-24,1130,1140,1125,1140,1140,5928800
27-Dec-24,1130,1145,1130,1135,1135,8187200
24-Dec-24,1135,1150,1130,1130,1130,7787300
23-Dec-24,1140,1150,1130,1140,1140,12581700
20-Dec-24,1110,1125,1105,1125,1125,10651000
19-Dec-24,1135,1150,1105,1110,1110,26931400
18-Dec-24,1170,1190,1150,1155,1155,24313900
17-Dec-24,1200,1205,1165,1170,1170,21107100
16-Dec-24,1215,1220,1195,1200,1200,15066400
13-Dec-24,1225,1225,1200,1210,1210,16015500
12-Dec-24,1245,1250,1220,1230,1230,16663100
11-Dec-24,1235,1260,1230,1250,1250,22065400
10-Dec-24,1235,1240,1225,1235,1235,15518100
9-Dec-24,1210,1245,1210,1235,1235,27441100
6-Dec-24,1210,1220,1200,1210,1210,22950900
5-Dec-24,1230,1230,1205,1210,1210,13817800
4-Dec-24,1210,1245,1205,1220,1220,37117700
3-Dec-24,1230,1250,1200,1205,1205,38599900
2-Dec-24,1280,1285,1220,1220,1220,15979400
29-Nov-24,1285,1290,1260,1285,1285,13080100
28-Nov-24,1295,1295,1275,1290,1290,16974400
26-Nov-24,1305,1305,1275,1295,1295,18729100
25-Nov-24,1265,1335,1265,1290,1290,38369000
22-Nov-24,1260,1280,1250,1260,1260,25077700
21-Nov-24,1275,1275,1240,1245,1245,25820700
20-Nov-24,1290,1295,1265,1270,1270,10593000
19-Nov-24,1265,1295,1265,1280,1280,8581600
18-Nov-24,1290,1295,1260,1260,1260,9682900
15-Nov-24,1300,1305,1280,1290,1290,6830100
14-Nov-24,1330,1330,1300,1305,1305,10510300
13-Nov-24,1300,1345,1300,1330,1330,19311200
12-Nov-24,1295,1310,1280,1300,1300,15095500
11-Nov-24,1330,1330,1270,1295,1295,28969000
8-Nov-24,1345,1360,1305,1325,1325,19016400
7-Nov-24,1325,1360,1315,1340,1340,25644200
6-Nov-24,1380,1400,1315,1330,1330,45253800
5-Nov-24,1380,1390,1360,1370,1370,25992100
4-Nov-24,1415,1415,1365,1380,1380,32796100
1-Nov-24,1415,1415,1390,1415,1415,12336600
31-Oct-24,1405,1455,1400,1405,1405,38857700
30-Oct-24,1425,1425,1390,1405,1405,23566400
29-Oct-24,1450,1450,1425,1425,1425,9926200
28-Oct-24,1470,1470,1430,1450,1450,14606100
25-Oct-24,1505,1505,1495,1490,1490,735800
24-Oct-24,1480,1505,1470,1495,1495,20592200
23-Oct-24,1470,1490,1460,1480,1480,16406100
22-Oct-24,1490,1490,1460,1470,1470,22958600
21-Oct-24,1510,1515,1485,1490,1490,13809100
18-Oct-24,1515,1515,1485,1500,1500,21884700
17-Oct-24,1505,1525,1500,1505,1505,25849100
16-Oct-24,1495,1525,1485,1500,1500,72887700
15-Oct-24,1490,1505,1480,1490,1490,40905900
14-Oct-24,1450,1485,1440,1480,1480,39344900
11-Oct-24,1400,1460,1400,1450,1450,57485900
10-Oct-24,1400,1400,1380,1390,1390,7132300
9-Oct-24,1415,1430,1390,1390,1390,21579100
8-Oct-24,1385,1430,1370,1410,1410,37189100
7-Oct-24,1365,1395,1350,1385,1385,24354800
4-Oct-24,1390,1395,1350,1365,1365,26603000
3-Oct-24,1410,1415,1375,1390,1390,32696300
2-Oct-24,1465,1465,1405,1415,1415,33017100
1-Oct-24,1450,1470,1435,1465,1465,15570800
30-Sep-24,1460,1460,1430,1450,1450,16399600
27-Sep-24,1465,1465,1435,1460,1460,33465100
26-Sep-24,1450,1470,1425,1465,1465,33165200
25-Sep-24,1495,1495,1425,1445,1445,89349800
24-Sep-24,1530,1530,1510,1515,1515,33881600
23-Sep-24,1530,1545,1515,1530,1530,32668100
20-Sep-24,1535,1540,1505,1530,1530,51627300
19-Sep-24,1500,1545,1490,1535,1535,115224900
18-Sep-24,1450,1495,1445,1485,1485,70162900
17-Sep-24,1430,1460,1430,1445,1445,32685400
13-Sep-24,1440,1440,1415,1430,1430,22573300
12-Sep-24,1445,1460,1435,1440,1440,28954700
11-Sep-24,1430,1460,1415,1445,1445,50746100
10-Sep-24,1410,1435,1400,1425,1425,44240100
9-Sep-24,1405,1425,1380,1400,1400,26798200
6-Sep-24,1405,1430,1395,1405,1405,38675500
5-Sep-24,1370,1410,1370,1405,1405,37101000
4-Sep-24,1360,1385,1360,1365,1365,26326300
3-Sep-24,1400,1405,1375,1385,1385,21849300
2-Sep-24,1410,1415,1390,1395,1395,25419100
30-Aug-24,1400,1410,1390,1410,1410,28041200
29-Aug-24,1420,1420,1390,1390,1390,38064200
28-Aug-24,1415,1425,1385,1420,1420,45616800
27-Aug-24,1435,1440,1390,1400,1400,46632500
26-Aug-24,1370,1440,1365,1435,1435,98131200
23-Aug-24,1325,1375,1325,1370,1370,36112400
22-Aug-24,1350,1350,1320,1320,1320,27867900
21-Aug-24,1375,1380,1350,1350,1350,35065700
20-Aug-24,1325,1370,1315,1365,1365,63466500
19-Aug-24,1315,1315,1295,1315,1315,18102700
16-Aug-24,1310,1315,1300,1305,1305,10629900
15-Aug-24,1310,1320,1290,1300,1300,19501200
14-Aug-24,1320,1330,1300,1305,1305,22814400
13-Aug-24,1280,1320,1275,1310,1310,24621000
12-Aug-24,1270,1280,1260,1280,1280,7995700
9-Aug-24,1270,1285,1265,1265,1265,9489800
8-Aug-24,1270,1275,1255,1260,1260,13845800
7-Aug-24,1275,1280,1260,1270,1270,13266900
6-Aug-24,1255,1275,1235,1275,1275,23647200
5-Aug-24,1310,1310,1235,1245,1245,61184900
2-Aug-24,1330,1340,1320,1320,1320,14875500
1-Aug-24,1325,1345,1320,1340,1340,27408100
31-Jul-24,1310,1330,1305,1315,1315,30237800
30-Jul-24,1320,1325,1300,1310,1310,17048500
29-Jul-24,1320,1325,1305,1310,1310,17274400
26-Jul-24,1325,1340,1300,1310,1310,31796100
25-Jul-24,1355,1355,1315,1325,1325,19547800
