Date,Open,High,Low,Close,Adj Close,Volume
30-Apr-25,"4,160","4,180","4,080","4,180","4,180","85,510,000"
29-Apr-25,"4,210","4,220","4,120","4,140","4,140","61,824,000"
28-Apr-25,"4,210","4,250","4,170","4,190","4,190","68,481,300"
25-Apr-25,"4,200","4,210","4,140","4,200","4,200","102,065,100"
24-Apr-25,"4,200","4,250","4,120","4,170","4,170","145,433,700"
23-Apr-25,"4,080","4,170","4,030","4,150","4,150","128,948,700"
22-Apr-25,"3,990","4,050","3,960","4,010","4,010","84,001,100"
21-Apr-25,"4,040","4,050","3,950","3,990","3,990","67,071,400"
17-Apr-25,"4,110","4,150","4,040","4,040","4,040","68,392,500"
16-Apr-25,"4,280","4,290","4,090","4,100","4,100","109,735,100"
15-Apr-25,"4,280","4,350","4,270","4,280","4,280","156,480,600"
14-Apr-25,"4,450","4,550","4,440","4,550","4,176","162,128,800"
11-Apr-25,"4,240","4,400","4,200","4,390","4,029","90,221,600"
10-Apr-25,"4,380","4,400","4,220","4,260","3,910","131,182,600"
9-Apr-25,"4,030","4,140","3,970","4,040","3,708","81,414,200"
8-Apr-25,"3,680","4,080","3,610","4,030","3,699","185,281,600"
27-Mar-25,"4,250","4,280","4,110","4,240","3,891","101,189,600"
26-Mar-25,"4,010","4,280","4,000","4,250","3,901","229,422,000"
25-Mar-25,"3,770","3,930","3,740","3,900","3,579","157,671,900"
24-Mar-25,"3,770","3,830","3,630","3,720","3,414","135,658,700"
21-Mar-25,"4,080","4,090","3,770","3,770","3,460","246,727,700"
20-Mar-25,"4,240","4,270","4,050","4,080","3,745","109,598,400"
19-Mar-25,"4,190","4,250","4,120","4,170","3,827","110,420,100"
18-Mar-25,"4,300","4,310","4,030","4,190","3,846","80,141,500"
17-Mar-25,"4,430","4,460","4,260","4,330","3,974","60,911,900"
14-Mar-25,"4,470","4,520","4,400","4,430","4,066","50,335,900"
13-Mar-25,"4,600","4,600","4,440","4,530","4,158","48,947,400"
12-Mar-25,"4,490","4,550","4,480","4,530","4,158","44,656,600"
11-Mar-25,"4,380","4,460","4,360","4,450","4,084","44,323,600"
10-Mar-25,"4,540","4,540","4,410","4,450","4,084","43,038,000"
7-Mar-25,"4,590","4,590","4,460","4,540","4,167","61,630,700"
6-Mar-25,"4,550","4,700","4,540","4,590","4,213","104,226,000"
5-Mar-25,"4,250","4,540","4,250","4,460","4,093","101,995,600"
4-Mar-25,"4,240","4,290","4,170","4,220","3,873","71,340,000"
3-Mar-25,"4,180","4,310","4,120","4,260","3,910","156,616,300"
28-Feb-25,"4,270","4,270","4,010","4,030","3,699","156,574,800"
27-Feb-25,"4,350","4,370","4,200","4,340","3,983","58,362,900"
26-Feb-25,"4,250","4,350","4,210","4,350","3,992","42,114,300"
25-Feb-25,"4,230","4,280","4,110","4,230","3,882","45,778,400"
24-Feb-25,"4,300","4,320","4,200","4,200","3,855","61,467,000"
21-Feb-25,"4,410","4,440","4,300","4,300","3,947","70,115,400"
20-Feb-25,"4,520","4,550","4,400","4,460","4,093","49,467,500"
19-Feb-25,"4,750","4,750","4,480","4,520","4,148","72,328,000"
18-Feb-25,"4,600","4,750","4,600","4,750","4,360","73,992,700"
17-Feb-25,"4,370","4,590","4,350","4,570","4,194","52,492,800"
14-Feb-25,"4,310","4,390","4,300","4,370","4,011","61,932,800"
13-Feb-25,"4,280","4,300","4,210","4,250","3,901","38,173,200"
12-Feb-25,"4,130","4,300","4,100","4,300","3,947","57,782,300"
11-Feb-25,"4,150","4,170","4,050","4,070","3,735","52,994,400"
10-Feb-25,"4,270","4,310","4,150","4,150","3,809","46,856,100"
7-Feb-25,"4,250","4,350","4,160","4,270","3,919","69,268,900"
6-Feb-25,"4,500","4,510","4,260","4,290","3,937","72,520,900"
5-Feb-25,"4,650","4,680","4,480","4,500","4,130","52,077,600"
4-Feb-25,"4,770","4,780","4,700","4,700","4,314","44,266,700"
3-Feb-25,"4,770","4,800","4,640","4,780","4,387","63,072,700"
31-Jan-25,"4,660","4,880","4,660","4,770","4,378","78,958,600"
30-Jan-25,"4,610","4,670","4,580","4,640","4,259","23,980,100"
24-Jan-25,"4,660","4,700","4,610","4,610","4,231","42,140,900"
23-Jan-25,"4,790","4,820","4,650","4,650","4,268","86,704,800"
22-Jan-25,"4,790","4,810","4,760","4,790","4,396","55,899,500"
21-Jan-25,"4,690","4,820","4,650","4,740","4,350","96,008,700"
20-Jan-25,"4,520","4,660","4,490","4,620","4,240","67,692,300"
17-Jan-25,"4,450","4,570","4,380","4,470","4,103","40,130,000"
16-Jan-25,"4,600","4,600","4,480","4,500","4,130","113,849,300"
