Date,Open,High,Low,Close,Adj Close ,Volume
30-Apr-25,4900,4920,4810,4890,4890,278
29-Apr-25,4930,4950,4880,4940,4940,108857600
28-Apr-25,4950,4980,4890,4920,4920,90697800
25-Apr-25,4960,4960,4900,4900,4900,134208400
24-Apr-25,4950,5025,4860,4890,4880,282970000
23-Apr-25,4780,4900,4740,4900,4900,1273395600
22-Apr-25,4610,4720,4590,4720,4720,126426200
21-Apr-25,4600,4640,4560,4610,4610,83034600
17-Apr-25,4630,4860,4510,4800,4600,165381400
16-Apr-25,4740,4750,4590,4630,4630,201660000
15-Apr-25,4800,4820,4710,4710,471000,230981700
14-Apr-25,4650,4750,4650,4750,4750,423716000
11-Apr-25,5000,5175,4950,5100,4633.82,384917500
10-Apr-25,5200,5225,4970,5025,4565.67,559906600
9-Apr-25,4630,4790,4630,4710,4779.46,316821100
8-Apr-25,4500,4830,4500,4670,424312,738455000
27-Mar-25,5150,5250,5050,5200,5200,301025300
26-Mar-25,4980,5175,4930,5150,5150,582172700
25-Mar-25,4500,4810,4500,4740,4740,313034100
24-Mar-25,4350,4530,4250,4460,4460,319017400
21-Mar-25,4600,4610,4380,4410,4410,374396400
20-Mar-25,4760,4770,4610,4620,4620,138209700
19-Mar-25,4530,4700,4440,4680,4680,273084900
18-Mar-25,4680,4690,4300,4530,4530,387565100
17-Mar-25,4740,4770,4660,4680,4680,135692800
14-Mar-25,4640,4800,4640,4740,4740,154331400
13-Mar-25,4940,4940,4710,4740,4740,176286000
12-Mar-25,4750,4880,4750,4880,4880,129973900
11-Mar-25,4650,4780,4640,4740,4740,150738100
10-Mar-25,4730,4760,4660,4710,4710,231152200
7-Mar-25,4870,4870,4810,4840,4840,117916600
6-Mar-25,4910,4980,4870,4870,4870,194909200
5-Mar-25,4860,5050,4860,4860,4860,252222800
4-Mar-25,4900,4920,4750,4840,4840,144346500
3-Mar-25,4750,4980,4700,4900,4900,257118300
28-Feb-25,4620,4690,4550,4600,4600,464696700
27-Feb-25,4930,4950,4660,4660,4660,334919800
26-Feb-25,4860,4980,4850,4920,4920,161836900
25-Feb-25,5000,5025,4860,4870,4870,224607800
24-Feb-25,5050,5075,4980,5025,5025,127578500
21-Feb-25,5000,5100,5000,5075,5075,152528600
20-Feb-25,5125,5225,5100,5150,5150,98363500
19-Feb-25,5375,5400,5125,5175,5175,204335500
18-Feb-25,5450,5550,5375,5450,5450,157430200
17-Feb-25,5200,5475,5175,5425,5425,223837300
14-Feb-25,5100,5200,4970,5125,5125,239709300
13-Feb-25,4940,5075,4900,5025,5025,215271400
12-Feb-25,4920,4950,4830,4940,4940,225073300
11-Feb-25,4750,4950,4750,4880,4880,316743200
10-Feb-25,5150,5150,4990,5000,5000,169384300
7-Feb-25,5000,5150,4950,5150,5150,407896100
6-Feb-25,5425,5425,5000,5100,5100,642118700
5-Feb-25,5600,5600,5475,5525,5525,185656000
4-Feb-25,5825,5850,5625,5675,5675,121871500
3-Feb-25,5975,6000,5700,5800,5800,182181700
31-Jan-25,6175,6225,6025,6025,6025,107861000
30-Jan-25,6100,6225,6075,6100,6100,101400400
24-Jan-25,6250,6250,6125,6125,6125,96161800
23-Jan-25,6200,6300,6175,6175,6175,120893700
22-Jan-25,6150,6200,6100,6150,6150,117929800
21-Jan-25,6100,6175,6025,6050,6050,115355900
20-Jan-25,6000,6050,5925,6000,6000,84338400
